number,title,year,director,cast,cast2,cast3,rating,summary
213,The Passion of Joan of Arc,1928,Carl Theodor Dreyer,Maria Falconetti,Eugene Silvain,André Berley,8.1,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions."
214,Logan,2017,James Mangold,Hugh Jackman,Patrick Stewart,Dafne Keen,8.1,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to safety."
215,Ben-Hur,1959,William Wyler,Charlton Heston,Jack Hawkins,Stephen Boyd,8.1,"When a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge."
216,Rang De Basanti,2006,Rakeysh Omprakash Mehra,Aamir Khan,Soha Ali Khan,Siddharth,8,"The story of six young Indians who assist an English woman to film a documentary on the freedom fighters from their past, and the events that lead them to relive the long-forgotten saga of freedom."
217,Nausicaä of the Valley of the Wind,1984,Hayao Miyazaki,Sumi Shimamoto,Mahito Tsujimura,Hisako Kyôda,8,Warrior and pacifist Princess Nausicaä desperately struggles to prevent two warring nations from destroying themselves and their dying planet.
218,Andrei Rublev,1966,Andrei Tarkovsky,Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko,8,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev."
219,Harry Potter and the Deathly Hallows: Part 2,2011,David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,8,"Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts."
220,Dead Poets Society,1989,Peter Weir,Robin Williams,Robert Sean Leonard,Ethan Hawke,8,English teacher John Keating inspires his students to look at poetry with a different perspective of authentic knowledge and feelings.
221,The 400 Blows,1959,François Truffaut,Jean-Pierre Léaud,Albert Rémy,Claire Maurier,8,"A young boy, left without attention, delves into a life of petty crime."
222,Amores Perros,2000,Alejandro G. Iñárritu,Emilio Echevarría,Gael García Bernal,Goya Toledo,8,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love."
223,Hotel Rwanda,2004,Terry George,Don Cheadle,Sophie Okonedo,Joaquin Phoenix,8,Paul Rusesabagina was a hotel manager who housed over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda.
